Brand,Strap_color,Size,Flipkart_assured,Sponsored,Page_num,Price,Original_price,Discount,Price_category,Ratings,Reviews,Promotion_tag
Boat,Blue,Free Size,True,True,1,1099,6999,84% off,Budget,4.1,135086,Super Deals
Noise,Midnight Blue,Regular,True,True,1,999,5999,83% off,Budget,4.1,883543,Super Deals
Noise,Rose Pink,Regular,True,False,1,999,5999,83% off,Budget,4.1,883543,Super Deals
Boat,Active Black,Free Size,True,False,1,1099,6999,84% off,Budget,4.1,135086,Super Deals
Noise,Jet Black,Regular,True,False,1,999,5999,83% off,Budget,4.1,883543,Super Deals
Goboult,Coal Black,Free Size,False,True,1,1799,4999,64% off,Budget,4.1,20170,Upto ₹300 Off on Exchange
Boat,Bold Black,Free Size,True,False,1,1199,7990,84% off,Budget,4.1,424423,Upto ₹300 Off on Exchange
Boat,Cherry Blossom,Free Size,True,False,1,1099,6999,84% off,Budget,4.1,135086,Super Deals
Gamesir,Grey-1,Free Size,False,False,1,873,2999,70% off,Budget,3.8,1680,Bank Offer
Boat,Metal Grey,Free Size,True,False,1,1249,7499,83% off,Budget,4.1,135086,Super Deals
Goboult,Metal Black,Free Size,True,True,1,1199,8999,86% off,Budget,4.2,2335,Upto ₹300 Off on Exchange
Goboult,Ash Black,Free Size,False,True,1,1599,9999,84% off,Budget,4.0,20427,Super Deals
Noise,Jet Black,Regular,True,False,1,1199,4999,76% off,Budget,4.1,623295,Upto ₹300 Off on Exchange
Fastrack,Black,Free Size,True,False,1,2299,7995,71% off,Mid-Range,4.3,136408,Super Deals
Goboult,Amber Blue,Free Size,False,False,1,1899,4999,62% off,Budget,4.1,20170,Upto ₹300 Off on Exchange
Gamesir,Silver Metal,Free Size,False,False,1,974,2999,67% off,Budget,3.8,906,Bank Offer
Goboult,Black,Free Size,True,True,1,2499,7999,68% off,Mid-Range,4.1,402661,Upto ₹300 Off on Exchange
Fire,Charcoal Grey,Free Size,False,True,1,999,14999,93% off,Budget,4.1,482547,Super Deals
Melbon,"Black, Grey",Free Size,False,False,1,809,2999,73% off,Budget,3.3,43,Only few left
Melbon,Black,Free Size,True,False,1,783,2999,73% off,Budget,4.4,18,Only few left
Goboult,Jet Black,Free Size,True,True,1,1899,6999,72% off,Budget,4.2,50447,Upto ₹300 Off on Exchange
Gamesir,Black,Free Size,False,True,1,894,3999,77% off,Budget,3.7,718,Bank Offer
Genvus,Black,FREE SIZE,False,False,1,670,2999,77% off,Budget,4.1,402661,Only few left
Goboult,Gunmetal,Free Size,True,False,1,1199,7999,85% off,Budget,4.1,402661,Upto ₹300 Off on Exchange
Gamesir,Orange,Free Size,False,False,1,686,1999,65% off,Budget,3.5,506,Only few left
Gamesir,Pink,Free Size,False,False,1,717,1999,64% off,Budget,3.5,1726,Only few left
Fire,Black Dual,Free Size,False,True,1,1299,9999,87% off,Budget,4.1,335485,Super Deals
Goboult,Silver,Free Size,True,True,1,1299,4499,71% off,Budget,4.1,119644,Upto ₹300 Off on Exchange
Boat,Green,Free Size,True,False,1,1399,6999,80% off,Budget,4.1,135086,Upto ₹300 Off on Exchange
Gamesir,Pink,Free Size,True,False,1,693,1999,65% off,Budget,3.3,161,Only few left
Goboult,Silver,Free Size,True,True,1,1799,6999,74% off,Budget,4.0,5251,Upto ₹300 Off on Exchange
Goboult,Green,Free Size,True,True,1,1099,7999,86% off,Budget,4.1,402661,Upto ₹300 Off on Exchange
Gamesir,Pink,Free Size,False,False,1,709,1999,64% off,Budget,3.2,62,Only few left
Gamesir,Black,Free Size,False,False,1,709,999,29% off,Budget,3.3,21,Only few left
Melbon,Metal Silver,Free Size,True,False,1,867,2999,71% off,Budget,4.1,22,Only few left
Melbon,Metal Silver,Free Size,False,False,1,878,2999,70% off,Budget,3.8,54,Only few left
Beatxp,Electric Black,Free Size,False,False,1,6499,6999,84% off,Premium,4.1,146012,Only 3 left
Melbon,Gold,Free Size,True,False,1,904,3999,77% off,Budget,5.0,3,Only few left
Gamesir,Pink,Free Size,False,False,1,686,1999,65% off,Budget,3.5,1726,Only few left
Melbon,Grey,Regular,False,False,1,686,2999,77% off,Budget,3.6,66,Only few left
Boat,Blue,Free Size,True,True,2,1099,6999,84% off,Budget,4.1,134922,Super Deals
Noise,Midnight Blue,Regular,True,True,2,999,5999,83% off,Budget,4.1,883543,Super Deals
Gamesir,Black,Free Size,False,False,2,693,1999,65% off,Budget,3.1,63,Only few left
Fire,Black,Free Size,True,False,2,1399,8999,84% off,Budget,4.1,330838,Upto ₹300 Off on Exchange
Cellecor,Black,Free Size,True,False,2,999,3999,75% off,Budget,4.2,676,Only 1 left
Samsung,Gray,Free Size,True,False,2,3499,9999,65% off,Mid-Range,4.4,23221,Upto ₹300 Off on Exchange
Goboult,Metal Black,Free Size,True,True,2,1199,8999,86% off,Budget,4.2,2335,Upto ₹300 Off on Exchange
Goboult,Ash Black,Free Size,False,True,2,1599,9999,84% off,Budget,4.0,20427,Super Deals
